parent_label,child_label
air horn,"vehicle horn, car horn, honking"
airplane,airplane flyby
"bird chirping, tweeting",baltimore oriole calling
"bird chirping, tweeting",barn swallow calling
"bird chirping, tweeting",black capped chickadee calling
"bird chirping, tweeting",canary calling
"bird chirping, tweeting",cuckoo bird calling
"bird chirping, tweeting",mynah bird singing
"bird chirping, tweeting","pigeon, dove cooing"
"bird chirping, tweeting",warbler chirping
"bird chirping, tweeting",wood thrush calling
bowling impact,striking bowling
cat meowing,cat caterwauling
cattle mooing,bull bellowing
cattle mooing,cow lowing
"child speech, kid speaking",children shouting
dog barking,dog baying
dog barking,dog bow-wow
door slamming,opening or closing car doors
door slamming,sliding door
fireworks banging,lighting firecrackers
ocean burbling,sea waves
people eating,eating with cutlery
people eating,people eating apple
people eating,people eating crisps
people eating,people eating noodle
people eating,people slurping
people sniggering,people giggling
playing drum kit,playing bass drum
playing drum kit,playing cymbal
playing drum kit,playing snare drum
playing electronic organ,playing hammond organ
playing timpani,playing tympani
"railroad car, train wagon","subway, metro, underground"
running electric fan,bathroom ventilation fan running
tapping guitar,playing acoustic guitar
tapping guitar,playing electric guitar
train horning,train whistling
wind noise,tornado roaring
wind noise,wind rustling leaves
